"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-81,0,0,5604,374971,2016-08-19,0,0,0.014945155758712,0.014945155758712
-65,0,0,5236,238332,2016-09-04,0,0,0.0219693536747059,0.0219693536747059
-56,0,0,5937,473378,2016-09-13,0,0,0.0125417742269391,0.0125417742269391
-50,0,0,6276,441709,2016-09-19,0,0,0.0142084494542787,0.0142084494542787
-26,0,0,12090,681198,2016-10-13,0,0,0.01774814371152,0.01774814371152
19,0,0,3561,293771,2016-11-27,0,0,0.0121216866198502,0.0121216866198502
23,0,0,4304,515359,2016-12-01,0,0,0.00835145985613912,0.00835145985613912
-53,0,0,6896,465368,2016-09-16,0,0,0.0148183802925857,0.0148183802925857
-34,0,0,7237,509811,2016-10-05,0,0,0.0141954567476967,0.0141954567476967
-80,0,0,5158,256983,2016-08-20,0,0,0.0200713665884514,0.0200713665884514
-87,0,0,5956,267249,2016-08-13,0,0,0.0222863322220102,0.0222863322220102
-94,0,0,5616,268295,2016-08-06,0,0,0.0209321828584208,0.0209321828584208
-82,0,0,5806,389100,2016-08-18,0,0,0.0149216139809818,0.0149216139809818
-63,0,0,5846,421141,2016-09-06,0,0,0.0138813366544696,0.0138813366544696
-48,0,0,5786,379729,2016-09-21,0,0,0.015237182306329,0.015237182306329
-42,0,0,6039,723370,2016-09-27,0,0,0.00834842473423006,0.00834842473423006
-39,0,0,8433,489341,2016-09-30,0,0,0.0172333812208664,0.0172333812208664
-29,0,0,9179,706456,2016-10-10,0,0,0.0129930243355566,0.0129930243355566
-11,0,0,11260,606303,2016-10-28,0,0,0.0185715722996588,0.0185715722996588
16,0,0,3129,305468,2016-11-24,0,0,0.0102432988070764,0.0102432988070764
27,0,0,4287,459760,2016-12-05,0,0,0.00932443013746302,0.00932443013746302
-98,0,0,5991,533794,2016-08-02,0,0,0.0112234307616796,0.0112234307616796
-97,0,0,6268,502340,2016-08-03,0,0,0.0124776048094916,0.0124776048094916
-93,0,0,5565,287339,2016-08-07,0,0,0.0193673674649108,0.0193673674649108
-92,0,0,6592,414843,2016-08-08,0,0,0.0158903488789735,0.0158903488789735
-89,0,0,7352,447650,2016-08-11,0,0,0.0164235451803865,0.0164235451803865
-83,0,0,7208,401515,2016-08-17,0,0,0.0179520067743422,0.0179520067743422
-70,0,0,4824,413473,2016-08-30,0,0,0.0116670254164117,0.0116670254164117
-67,0,0,6433,377708,2016-09-02,0,0,0.017031675262372,0.017031675262372
-64,0,0,5353,306339,2016-09-05,0,0,0.017474105484447,0.017474105484447
-62,0,0,6710,444936,2016-09-07,0,0,0.0150808206124027,0.0150808206124027
-57,0,0,6135,442195,2016-09-12,0,0,0.0138739696287837,0.0138739696287837
-55,0,0,6307,487149,2016-09-14,0,0,0.0129467575628812,0.0129467575628812
-49,0,0,6342,470604,2016-09-20,0,0,0.0134762985439988,0.0134762985439988
-35,0,0,7006,752535,2016-10-04,0,0,0.00930986598629964,0.00930986598629964
-33,0,0,7047,476934,2016-10-06,0,0,0.0147756293323605,0.0147756293323605
-32,0,0,7015,573592,2016-10-07,0,0,0.0122299474190714,0.0122299474190714
-28,0,0,9081,649815,2016-10-11,0,0,0.0139747466586644,0.0139747466586644
-18,0,0,7068,341786,2016-10-21,0,0,0.020679606537424,0.020679606537424
-15,0,0,10389,548402,2016-10-24,0,0,0.0189441322241713,0.0189441322241713
-1,0,0,11772,843840,2016-11-07,0,0,0.0139505119453925,0.0139505119453925
18,0,0,3808,316027,2016-11-26,0,0,0.0120496033566752,0.0120496033566752
22,0,0,3941,478922,2016-11-30,0,0,0.00822889739874134,0.00822889739874134
26,0,0,3790,319516,2016-12-04,0,0,0.0118616908073461,0.0118616908073461
-75,0,0,5834,427607,2016-08-25,0,0,0.0136433687942433,0.0136433687942433
-73,0,0,5174,263237,2016-08-27,0,0,0.0196552916193392,0.0196552916193392
-71,0,0,4423,371952,2016-08-29,0,0,0.0118913193100185,0.0118913193100185
-52,0,0,5951,291015,2016-09-17,0,0,0.0204491177430717,0.0204491177430717
-47,0,0,5001,427535,2016-09-22,0,0,0.0116972879413381,0.0116972879413381
-86,0,0,5876,260747,2016-08-14,0,0,0.0225352544803967,0.0225352544803967
-77,0,0,5215,405566,2016-08-23,0,0,0.0128585729572992,0.0128585729572992
-68,0,0,6321,424516,2016-09-01,0,0,0.0148898981428262,0.0148898981428262
-66,0,0,4317,265917,2016-09-03,0,0,0.0162343889258678,0.0162343889258678
-45,0,0,6021,290246,2016-09-24,0,0,0.0207444719307071,0.0207444719307071
-17,0,0,8319,387076,2016-10-22,0,0,0.0214919033988157,0.0214919033988157
-88,0,0,7117,373841,2016-08-12,0,0,0.019037505249558,0.019037505249558
25,0,0,3523,294418,2016-12-03,0,0,0.0119659803408759,0.0119659803408759
-72,0,0,5212,267068,2016-08-28,0,0,0.0195156289783875,0.0195156289783875
-69,0,0,4795,459352,2016-08-31,0,0,0.0104386178790993,0.0104386178790993
-78,0,0,5729,403019,2016-08-22,0,0,0.0142152106972624,0.0142152106972624
-37,0,0,7086,363670,2016-10-02,0,0,0.0194846976654659,0.0194846976654659
-79,0,0,4385,274472,2016-08-21,0,0,0.0159761287125827,0.0159761287125827
