id	date_created	name	screen_name	location	nameHandleWords
101000103	2015-01-06	Frank Bundy	frankbundelicious	Cheektowaga, NY	frank bundy undelicious bundelicious
101000104	2015-01-06	Frank Bundock	FBundy19	westfield	frank bundock undy bundy
101000105	2015-01-06	Frank Cain	FrankCain5		frank cain 
101000106	2015-01-06	Frank Cain	6dca376c6007471		frank cain dca
101000107	2015-01-06	Frank Cain	CainFrank	Madison, WI	frank cain 
101000108	2015-01-06	FrankYnStein	MarkOfCain15		frankynstein frank yn stein mark cain of
101000109	2015-01-06	Frank Cain	FcainCain		frank cain caincain
101000110	2015-01-06	Frank Cain	GeelongRoofer	Geelong, Victoria	frank cain geelong roofer
101000111	2015-01-06	Frank Cain	FrankCain14		frank cain 
101000112	2015-01-06	frank cain	gateshead1947		frank cain gateshead
101000113	2015-01-06	Cain Sophia	FrankWord		cain sophia frank word
101000114	2015-01-06	Cooper Franklin	KnowLegde_		cooper franklin legde know
101000115	2015-01-06	franklin cooper	FranklinWiked2	California	franklin cooper wiked franklinwiked
101000116	2015-01-06	franklin cooper	rockinhardnow	Big Bear City, Ca.	franklin cooper rockinhardnow
101000117	2015-01-06	Cooper Franklin	CooperFranklin5	De Pere, WI	cooper franklin 
101000118	2015-01-06	Cooper Franklin	Funsize4Franklin		cooper franklin funsize
101000119	2015-01-06	Cooper Franklin	loosedogfrom_ms	mississippi	cooper franklin loosedogfrom ms
101000120	2015-01-06	Franklin Cooper	FranklinCooperIV		franklin cooper iv cooperiv
101000121	2015-01-06	FRANKLIN COOPER	franklin7635130		franklin cooper in
101000122	2015-01-06	Franklin Cooper	CooperFrankie12		franklin cooper rankie frankie
101000123	2015-01-06	Cooper Franklin	cooperfrank2017		cooper franklin frank
101000124	2015-01-06	Franklin Cox	Frank_Cox_Agency	Mansfield, TX	franklin cox agency frank
101000125	2015-01-06	franklin cox	sparkyno8		franklin cox sparkyno
101000126	2015-01-06	Franklin Cox	Frank_V_Cox	Atlanta	franklin cox frank
101000127	2015-01-06	Franklin (P)unis Cox	Dirtyfrank		franklin unis cox dirtyfrank
101000128	2015-01-06	Deborah Regina Porto	deborah2portobra		deborah regina porto bra portobra
101000129	2015-01-06	Deborah Porto	00421837e29543b		deborah porto 
101000130	2015-01-06	Deborah Regina Porto	deborah_porto		deborah regina porto 
101000131	2015-01-06	deborah bruna porto	deborahporto		deborah bruna porto 
101000132	2015-01-06	Deborah Posey	Tweet2day	Weston WV	deborah posey tweet ay day
101000133	2015-01-06	David Porter	daviePortman		david porter ortman avie portman davie
101000134	2015-01-06	David Portman	Brian_Coys	London	david portman brian coys
101000135	2015-01-06	David Teager-Portman	Teager_Portman	UK	david teager portman 
101000136	2015-01-06	Rebecca Portman	DavidPortman4		rebecca portman david
101000137	2015-01-06	David Portman	TheTrueAwesome		david portman awesome true the
101000138	2015-01-06	David Portman	lionbar2010	Birmingham, England	david portman lionbar
101000139	2015-01-06	David J Portman MD	Dportman_David	Columbus, Ohio	david portman md 
101000140	2015-01-06	david portman	bobby_boy_97		david portman bobby boy
101000141	2015-01-06	David Portman	portman_d		david portman 
101000142	2015-01-06	david portman	DavidRPortman		david portman davidr
