from	to
laweekly.com	laweekly.com
stripes.com	stripes.com
nhpr.org	nhpr.org
lawnewz.com	lawnewz.com
statnews.com	statnews.com
baltimore.cbslocal.com	baltimore.cbslocal.com
theundefeated.com	theundefeated.com
recode.net	recode.net
nbcwashington.com	nbcwashington.com
elections.huffingtonpost.com	huffingtonpost.com
dailydot.com	dailydot.com
wftv.com	wftv.com
thenewcivilrightsmovement.com	thenewcivilrightsmovement.com
towleroad.com	towleroad.com
teenvogue.com	teenvogue.com
omaha.com	omaha.com
ijr.com	ijr.com
nbcmiami.com	nbcmiami.com
newsone.com	newsone.com
learnmore.economist.com	economist.com
prospect.org	prospect.org
thestar.com	thestar.com
freebeacon.com	freebeacon.com
kron4.com	kron4.com
economictimes.indiatimes.com	economictimes.indiatimes.com
koat.com	koat.com
theglobeandmail.com	theglobeandmail.com
bangordailynews.com	bangordailynews.com
thestreet.com	thestreet.com
wdrb.com	wdrb.com
chicago.suntimes.com	chicago.suntimes.com
nwk.ee	nwk.ee
nationalmemo.com	nationalmemo.com
nbcchicago.com	nbcchicago.com
wcvb.com	wcvb.com
ebony.com	ebony.com
sexenio.com.mx	sexenio.com.mx
ktla.com	ktla.com
nbcbayarea.com	nbcbayarea.com
insidehighered.com	insidehighered.com
theconversation.com	theconversation.com
dailysignal.com	dailysignal.com
good.is	good.is
wfsb.com	wfsb.com
psmag.com	psmag.com
indystar.com	indystar.com
glennbeck.com	glennbeck.com
fox25boston.com	fox25boston.com
adn.com	adn.com
wgrz.com	wgrz.com
boston.cbslocal.com	boston.cbslocal.com
seattletimes.com	seattletimes.com
christianitytoday.com	christianitytoday.com
el-nacional.com	el-nacional.com
lifenews.com	lifenews.com
12news.com	12news.com
bostonmagazine.com	bostonmagazine.com
projects.newsday.com	newsday.com
necn.com	necn.com
scpr.org	scpr.org
digg.com	digg.com
relevantmagazine.com	relevantmagazine.com
chicagobusiness.com	chicagobusiness.com
khaosodenglish.com	khaosodenglish.com
kwwl.com	kwwl.com
nation.foxnews.com	foxnews.com
thedenverchannel.com	thedenverchannel.com
9news.com	9news.com
idahostatesman.com	idahostatesman.com
courant.com	courant.com
graphics.wsj.com	wsj.com
thefederalist.com	thefederalist.com
providencejournal.com	providencejournal.com
therealstrategy.com	therealstrategy.com
deseretnews.com	deseretnews.com
wxii12.com	wxii12.com
host.madison.com	host.madison.com
abc15.com	abc15.com
sltrib.com	sltrib.com
twitchy.com	twitchy.com
